model,RMSE_train_mean,RMSE_train_std,RMSE_val_mean,RMSE_val_std,R2_train_mean,R2_train_std,R2_val_mean,R2_val_std
Poly2_OLS,7.095441734274198,0.02259049281151043,7.106379168017954,0.0909818065629555,0.8590831000272665,0.0009665413409504553,0.8586147776715729,0.003908013936692654
Ridge_poly2,7.154836160330109,0.02394339103735654,7.163804075142508,0.10141071219814572,0.8567138866199926,0.0010285886401244025,0.8563144632627356,0.004360096173416747
ElasticNet_poly2,7.178427383791241,0.020844231252652137,7.186394086393468,0.10450095610751278,0.8557679616336792,0.0008962239433104532,0.8554049583880037,0.004500180424354518
Lasso_poly2,7.196738236647143,0.023879522733612817,7.202175451871055,0.09938003333426357,0.8550307239268126,0.0010292709009920176,0.8547726300948391,0.004309148650925586
BLR_linear,8.114631671432567,0.021802813496073555,8.116619262149126,0.08755464772499985,0.815693473762838,0.0011074255020151035,0.815566825693893,0.0044491684163751695
MLR_linear,8.11463167143257,0.02180281349607345,8.116619262149218,0.08755464772403773,0.815693473762838,0.0011074255020151035,0.8155668256938895,0.004449168416323618
Lasso_linear,8.119188698173692,0.021902763838486675,8.121047734609336,0.0869652789764171,0.8154863967851108,0.0011122469769998735,0.8153658620083515,0.004425149759330178
Ridge_linear,8.120771501918854,0.02175336806760699,8.12270206127069,0.08444967586410189,0.8154144718990454,0.0011060992367064879,0.8152920736396319,0.004317804618566193
ElasticNet_linear,8.125771396513604,0.021768586581462267,8.127627893330317,0.08378977924764887,0.8151871057889609,0.001107582232741307,0.8150683675825567,0.00429198684518451
